model,coverage,macro_F1,mAP,label_acc,subset_acc
A | SimpleCNN clean-trained,0.0,0.752806017129344,0.802939362315043,0.804065762224758,0.13714551371455136
VGG11 | B,0.25,0.7457279144366015,0.7897017729714861,0.794471915810828,0.12459321245932124
VGG11 | B,0.5,0.7403048534959733,0.7814998554333148,0.790921770001268,0.11808461180846118
VGG11 | B,0.75,0.7294923783677006,0.7659533602168312,0.7782426778242678,0.1097164109716411
VGG11 | B,0.9,0.7071559445464027,0.738570456932252,0.7629432399306876,0.09716410971641097
VGG11 | B,1.0,0.0,0.3605088542327036,0.6394911457672964,0.0
VGG11 | C,0.0,0.7518852083853957,0.806527817982758,0.803769916740628,0.13668061366806136
VGG11 | C,0.25,0.7504107158982065,0.803104952203531,0.8015722074299481,0.13435611343561135
VGG11 | C,0.5,0.7472354630594328,0.7981729878489311,0.7977262161362579,0.12552301255230125
VGG11 | C,0.75,0.7384468826247492,0.7849324211962205,0.7880901060817379,0.11529521152952116
VGG11 | C,0.9,0.7276904030203906,0.7653804575940986,0.7765943958412578,0.10274291027429103
VGG11 | C,1.0,0.7104574668872826,0.7296335669670545,0.7608300579011876,0.09669920966992096
VGG11 | D,0.0,0.7503637223601888,0.8011720679266975,0.8043193440682981,0.14225941422594143
VGG11 | D,0.25,0.7498485382923985,0.7988534898298483,0.8042770804277081,0.1417945141794514
VGG11 | D,0.5,0.7468437191844718,0.7964668642569701,0.801656734711128,0.13621571362157137
VGG11 | D,0.75,0.7406619514764419,0.7874330126025787,0.795993406872068,0.12552301255230125
VGG11 | D,0.9,0.7325618478462494,0.7721868929021073,0.7901187608300579,0.11622501162250116
VGG11 | D,1.0,0.5506931915764665,0.6943050783048199,0.7415578377921475,0.08647140864714087
ResNet18-scratch | B,0.0,0.7482934753766518,0.7946717704828327,0.799374498119268,0.12645281264528127
ResNet18-scratch | B,0.25,0.7463864514780941,0.7905087698670201,0.796331515996788,0.11761971176197118
ResNet18-scratch | B,0.5,0.7417219094748184,0.7796208483686581,0.7897383880647479,0.11390051139005114
ResNet18-scratch | B,0.75,0.7222953622806673,0.7655477441008074,0.7740163137652677,0.10367271036727103
ResNet18-scratch | B,0.9,0.6987951716197918,0.7396505757211511,0.7522505388614176,0.09530450953045096
ResNet18-scratch | B,1.0,0.0,0.3623994007868934,0.6394911457672964,0.0
ResNet18-scratch | C,0.0,0.7354012731701903,0.7879051895207319,0.7838214783821479,0.10646211064621107
ResNet18-scratch | C,0.25,0.7318464390509835,0.7833890347758324,0.7799754870884578,0.10506741050674105
ResNet18-scratch | C,0.5,0.7279762721814119,0.7753872984836299,0.7747770592958877,0.09390980939098094
ResNet18-scratch | C,0.75,0.7218237323754988,0.7639775379543173,0.7605764760576476,0.08786610878661087
ResNet18-scratch | C,0.9,0.7134347625668315,0.747204983798592,0.7452770381640674,0.07763830776383078
ResNet18-scratch | C,1.0,0.7050455540864795,0.7190327520639621,0.7309074003634674,0.07112970711297072
ResNet18-scratch | D,0.0,0.72535299391875,0.7708247533525019,0.7786653142301678,0.11157601115760112
ResNet18-scratch | D,0.25,0.7260458687378429,0.7696999886512075,0.7761294957947678,0.10785681078568107
ResNet18-scratch | D,0.5,0.7256709887090337,0.7654363065841636,0.7732978318752377,0.10692701069270107
ResNet18-scratch | D,0.75,0.7214943658007543,0.7593686185926035,0.7623938126030176,0.10134821013482101
ResNet18-scratch | D,0.9,0.7113742127290719,0.7473731967416959,0.7432483834157474,0.08461180846118084
ResNet18-scratch | D,1.0,0.6010109564750884,0.6530452194308567,0.6758801403152868,0.06090190609019061
ResNet18-pretrained | B,0.0,0.7295282878749682,0.7742871265068662,0.7861459786145979,0.11250581125058112
ResNet18-pretrained | B,0.25,0.7273719583077713,0.7649342026206685,0.7821309327585478,0.1097164109716411
ResNet18-pretrained | B,0.5,0.7180209748007332,0.7536449230434392,0.7755800684670977,0.09576940957694095
ResNet18-pretrained | B,0.75,0.7049073095932441,0.7374240576895498,0.7597734668864375,0.08693630869363086
ResNet18-pretrained | B,0.9,0.6760839693717638,0.7017517446316757,0.7283293182874773,0.04230590423059042
ResNet18-pretrained | B,1.0,0.0878174307285007,0.3622275832865314,0.5755039939140357,0.0
ResNet18-pretrained | C,0.0,0.7235868887540493,0.7702188479976264,0.7788343687925278,0.10134821013482101
ResNet18-pretrained | C,0.25,0.7216400393990806,0.7685314465128982,0.7738472592029078,0.10739191073919108
ResNet18-pretrained | C,0.5,0.7197577889874893,0.7617393932506741,0.7687333586915177,0.09530450953045096
ResNet18-pretrained | C,0.75,0.7117061986811208,0.7545278892307756,0.7571531211698576,0.08833100883310088
ResNet18-pretrained | C,0.9,0.7051797163207775,0.736577190031019,0.7456574109293774,0.09205020920502092
ResNet18-pretrained | C,1.0,0.6440717185730138,0.6756200707591787,0.6946874603778369,0.06322640632264064
ResNet18-pretrained | D,0.0,0.7172803890958286,0.762081952316107,0.7882591606440978,0.11436541143654114
ResNet18-pretrained | D,0.25,0.7178532175265263,0.7558596643947916,0.7853007058027979,0.11576011157601115
ResNet18-pretrained | D,0.5,0.7174142072015902,0.7556904564267236,0.7774396686530578,0.10506741050674105
ResNet18-pretrained | D,0.75,0.7119350304805826,0.7535632618326712,0.7667892312243777,0.10134821013482101
ResNet18-pretrained | D,0.9,0.7019342914549127,0.741940080189453,0.7497992477071975,0.09437470943747095
ResNet18-pretrained | D,1.0,0.6444434781031622,0.7172853371723026,0.7459532564135075,0.08507670850767085
